 ,L. crispatus,L. gasseri,L. jensenii,L. iners,L. vaginalis,L. fermentum,L. paracasei,L. reuteri,L. rhamnosus,L. acidophilus,L. casei,L. coleohominis,L. delbrueckii,L. johnsonii,L. mucosae,L. oris,L. plantarum,L. salivarium,L. bifermentans,L. helveticus,L. hilgardii,L. pentosus,L. suntoryeus
L. crispatus,0,22,24,8,5,4,1,4,3,11,0,1,5,5,0,2,4,0,0,0,0,0,0
L. gasseri,22,0,19,9,6,4,1,3,2,10,1,1,5,4,0,2,6,0,0,0,0,0,0
L. jensenii,24,19,0,6,5,3,1,2,2,8,0,0,2,3,0,2,3,0,0,0,0,0,0
L. iners,8,9,6,0,1,1,1,3,3,3,0,1,1,1,0,0,1,0,0,0,0,0,0
L. vaginalis,5,6,5,1,0,2,0,2,1,3,0,1,1,0,0,2,3,0,0,0,0,0,0
L. fermentum,4,4,3,1,2,0,1,2,8,7,4,0,2,2,0,1,4,0,0,0,0,0,0
L. paracasei,1,1,1,1,0,1,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0
L. reuteri,4,3,2,3,2,2,1,0,6,3,0,1,1,1,0,1,1,0,0,0,0,0,0
L. rhamnosus,3,2,2,3,1,8,1,6,0,3,0,1,1,1,0,0,2,0,0,0,0,0,0
L. acidophilus,11,10,8,3,3,7,2,3,3,0,2,1,5,4,0,2,4,0,0,0,0,0,0
L. casei,0,1,0,0,0,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
L. coleohominis,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L. delbrueckii,5,5,2,1,1,2,1,1,1,5,1,0,0,3,0,1,3,0,0,0,0,0,0
L. johnsonii,5,4,3,1,0,2,1,1,1,4,0,0,3,0,0,0,2,0,0,0,0,0,0
L. mucosae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. oris,2,2,2,0,2,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
L. plantarum,4,6,3,1,3,4,1,1,2,4,1,0,3,2,0,1,0,0,0,0,0,0,0
L. salivarium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. bifermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. helveticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. hilgardii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. pentosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. suntoryeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
