 ,L. crispatus,L. gasseri,L. jensenii,L. iners,L. vaginalis,L. fermentum,L. paracasei,L. reuteri,L. rhamnosus,L. acidophilus,L. casei,L. coleohominis,L. delbrueckii,L. johnsonii,L. mucosae,L. oris,L. plantarum,L. salivarium,L. bifermentans,L. helveticus,L. hilgardii,L. pentosus,L. suntoryeus
L. crispatus,0,376,412,145,103,99,39,91,102,230,18,15,110,104,0,31,104,0,0,0,0,0,0
L. gasseri,0,0,328,155,127,104,37,70,75,193,35,15,107,89,0,31,127,0,0,0,0,1,0
L. jensenii,0,0,0,102,116,77,35,55,86,154,16,2,65,79,0,31,83,0,0,0,0,1,0
L. iners,0,0,0,0,25,41,28,68,80,75,8,15,39,36,0,3,35,0,0,0,0,1,0
L. vaginalis,0,0,0,0,0,52,5,35,31,63,9,15,28,9,0,31,78,0,0,0,0,1,0
L. fermentum,0,0,0,0,0,0,36,57,184,126,78,2,59,59,0,15,115,0,0,0,0,1,0
L. paracasei,0,0,0,0,0,0,0,29,31,52,7,1,28,30,0,0,31,0,0,0,0,1,0
L. reuteri,0,0,0,0,0,0,0,0,128,68,8,15,36,33,0,14,39,0,0,0,0,0,0
L. rhamnosus,0,0,0,0,0,0,0,0,0,88,10,15,39,41,0,4,56,0,0,0,0,0,0
L. acidophilus,0,0,0,0,0,0,0,0,0,0,40,15,108,86,0,31,99,0,0,0,0,2,0
L. casei,0,0,0,0,0,0,0,0,0,0,0,2,25,7,0,2,34,0,0,0,0,2,0
L. coleohominis,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0
L. delbrueckii,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,19,74,0,0,0,0,0,0
L. johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0,0,0
L. mucosae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. oris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
L. plantarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. salivarium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. bifermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. helveticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. hilgardii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. pentosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. suntoryeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
